anzThreads, gesamtzeit, mittel, varianz, abweichung
1, 1281, 1281.0, 0.0, 0.0
2, 3008, 1504.0, 0.0, 0.0
3, 5044, 1681.0, 0.3333333333333333, 0.3333333333333333
4, 21821, 5455.0, 4.662400525E7, 3414.0886503575152
5, 55097, 11019.0, 5.90057244E7, 3435.2794471483685
10, 124969, 12496.0, 5.25214595E7, 2291.75608431613
20, 313814, 15690.0, 2.26186398E7, 1063.452862142935
50, 848449, 16968.0, 4908823.02, 313.33123112769977
100, 1704109, 17041.0, 4909601.53, 221.5762065294918
200, 3500151, 17500.0, 2688277.265, 115.93699290994226
300, 5588067, 18626.0, 5185938.023333333, 131.4779832434989
500, 11264191, 22528.0, 4.299821977E7, 293.25149537555643



